source_id	depth	cohort	title	artifact_kind	status	local_path	source_url	original_locator	resolved_version	bytes	sha256	text_path	text_bytes	text_sha256	references_path	references_bytes	references_sha256	reference_status	license_status	license_locator	note
CONCRETE-SAFETY	2	established	Concrete Problems in AI Safety	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/concrete-safety.pdf	https://arxiv.org/pdf/1606.06565v2	https://arxiv.org/abs/1606.06565	arXiv:1606.06565v2	480687	sha256:a3ac7eda67026d6d95f2182b1202ac371b7d9feabcc10a48dc90e417fbac023e	evidence/weng/text/concrete-safety.txt	114735	sha256:f2f343ddb5b1ba14beb2310b1675d60145b34eab84044a1c58ccb69477abce83	evidence/weng/references/concrete-safety.txt	27013	sha256:82bffa598c5a6d940f2496c0bf105b90641329b070fc6827940f25fdf183266b	references_extracted	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=1606.06565	; claim ceiling: Abstract taxonomy including reward hacking and scalable supervision
CONTINUAL-HARNESS	1	preprint-watchlist	Continual Harness: Online Adaptation for Self-Improving Foundation Agents	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/continual-harness.pdf	https://arxiv.org/pdf/2605.09998	https://arxiv.org/abs/2605.09998	arXiv:2605.09998	31751676	sha256:50f60996b0d962cdbf01f5b6a262ccd68b149c8b67cc2594218453717ea0c45e	evidence/weng/text/continual-harness.txt	86472	sha256:319a098d86d2634151569c5f4d53a65185faed92355545a006e552e7b38a01b7	evidence/weng/references/continual-harness.txt	53780	sha256:cfb4fe7d2e45715256fd20236542c98946cb8271be0b00b57d174076d01b1ccb	references_extracted	http://creativecommons.org/licenses/by-nc-sa/4.0/	https://export.arxiv.org/api/query?id_list=2605.09998	; claim ceiling: Identity only
COREBENCH	1	established	CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/corebench.pdf	https://arxiv.org/pdf/2409.11363	https://arxiv.org/abs/2409.11363	arXiv:2409.11363	2885202	sha256:1d1fbe8a3cf472fc468495e6a3bcd6b90224ba1eae3dac8d8174f98d666c3d76	evidence/weng/text/corebench.txt	98370	sha256:1ce08fc9533cd153b01452fbad78b5e976a698d3ee0d6abfd11710585aaef1e5	evidence/weng/references/corebench.txt	59765	sha256:ea13cfb4fd8e6a0c3e5e18ab786d881cf1ca1ee8773ee6afc81ef90f86fdc225	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2409.11363	; claim ceiling: Identity only
DEMOEVOLVE	1	preprint-watchlist	DemoEvolve: Overcoming Sparse Feedback in Agentic Harness Evolution with Demonstrations	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/demoevolve.pdf	https://arxiv.org/pdf/2605.24539	https://arxiv.org/abs/2605.24539	arXiv:2605.24539	3010459	sha256:743dd673dae5fc6f2d048e7a8794587b880ec0deb2782ac6ac2520085dc9dfa7	evidence/weng/text/demoevolve.txt	66164	sha256:6a8edea558b24b9829373c0a4fa072b3c8b281b5924b34b7c6fb265a51ca122d	evidence/weng/references/demoevolve.txt	32308	sha256:7a7ce36aa6aac18682d19ddbdbeea7d93ef7853be7c6d75ca69507c5796cb6a2	references_extracted	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2605.24539	; claim ceiling: Identity only
DGM	1	preprint-watchlist	Darwin Gödel Machine: Open-Ended Evolution of Self-Improving Agents	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/dgm.pdf	https://arxiv.org/pdf/2505.22954v3	https://arxiv.org/abs/2505.22954	arXiv:2505.22954v3	3825399	sha256:13ff4abe0c7ad4a7dd3b4876d19a8bf940e39e70dabbf06065aa774a6c3457de	evidence/weng/text/dgm.txt	233274	sha256:2640eafefc5f4788ecffb29808cf93ad9b90a4dbe74d4f0bbd2f9e7bdc8671e2	evidence/weng/references/dgm.txt	183802	sha256:6598bb6c0c28612fa8a27c8f884b3475d84662bc2abd7f08dec87845df34de2f	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2505.22954	; claim ceiling: Abstract, mechanism, reported results, and explicit frozen-FM limitation
EPISTEMIC-DISCOVERY	1	preprint-watchlist	Epistemic Uncertainty for Test-Time Discovery	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/epistemic-discovery.pdf	https://arxiv.org/pdf/2605.11328	https://arxiv.org/abs/2605.11328	arXiv:2605.11328	832337	sha256:a5b1d9e0652c74d9881521749175689567b9eb1150de19ba0b857f7c156e72f8	evidence/weng/text/epistemic-discovery.txt	72721	sha256:b3caab7a1cc32c761b68ef3fd764f7d59f3c4483beb6411f9562f6748104bc4e	evidence/weng/references/epistemic-discovery.txt	36262	sha256:db2becb679b8553896c1fa2a61052c6975a65d5fed71e4b39551ee5cb699b2bb	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2605.11328	; claim ceiling: Identity only
FUNSEARCH	2	established	Mathematical discoveries from program search with large language models	html	fetched	evidence/weng/artifacts/html/funsearch.html	https://www.nature.com/articles/s41586-023-06924-6	https://www.nature.com/articles/s41586-023-06924-6	DOI:10.1038/s41586-023-06924-6	473780	sha256:1841eeb5c2e9c255f50be0efd339df034d1cb207870c79ece08e742c909e1120	evidence/weng/text/funsearch.txt	74279	sha256:02d48114fd5d84085b1f7d51a2cfa7de3a4f2c35d481d22e265286e6b4adb497	evidence/weng/references/funsearch.txt	22386	sha256:ac4a5f7e0e595f1179d0bd51645c3d7b577e619c79b4c35838a17af1891f0710	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://www.nature.com/articles/s41586-023-06924-6	; claim ceiling: Article mechanism, evaluator contract, and reported discoveries
GEPA	1	preprint-watchlist	GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/gepa.pdf	https://arxiv.org/pdf/2507.19457	https://arxiv.org/abs/2507.19457	arXiv:2507.19457	2975112	sha256:ab3a5139bac83f192ad67529368d77b84b0d807e95a8e4fd0daa8d45fd046bec	evidence/weng/text/gepa.txt	276232	sha256:1b590d6346c719751ebd6bc6a3256798194fe438284c4989e61dd087ef2e353e	evidence/weng/references/gepa.txt	222651	sha256:2a1cf0a6d3656807818d418f29bbcf1ce149b3428d7463f42469b4f86b4d202e	references_extracted	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2507.19457	; claim ceiling: Identity only
GODEL-MACHINE	2	established	Gödel Machines: Fully Self-referential Optimal Universal Self-improvers	html	fetched	evidence/weng/artifacts/html/godel-machine.html	https://link.springer.com/chapter/10.1007/978-3-540-68677-4_7	https://link.springer.com/chapter/10.1007/978-3-540-68677-4_7	DOI:10.1007/978-3-540-68677-4_7	335772	sha256:be0b8d6cedae076c3adbf1b472e742d6ebf31fff7e415c03c5df680a41e04426	evidence/weng/text/godel-machine.txt	15600	sha256:6e0a557331c0a916d220932b2a5ff0a0d46fd938be419830fd456f185add0f24	evidence/weng/references/godel-machine.txt	12410	sha256:2dafbe87c0cfe1754dc79df466e49b98d06429d7f4d6310512cf9e9f8741374a	references_extracted	unknown	https://link.springer.com/chapter/10.1007/978-3-540-68677-4_7	; claim ceiling: Publisher summary only; full text blocked
GOOD-1965	1	established	Speculations Concerning the First Ultraintelligent Machine	pdf_direct	fetched	evidence/weng/artifacts/pdf/good-1965.pdf	https://vtechworks.lib.vt.edu/bitstreams/a5e423ee-54e0-4eec-aeca-32b73f851af5/download	https://philpapers.org/rec/GOOSCT	Advances in Computers 6 (1965), Virginia Tech reprint	1140973	sha256:b411d0bb494359d1990d773f67576d3ffc415f5d08fe3573c1f3ed360fb79649	evidence/weng/text/good-1965.txt	7433	sha256:6d99bc7df87bab667444dd862c4eb7589459cb9465cefaa4f1925662d6dd47c6	MISSING	0	MISSING	references_heading_not_found	unknown	https://vtechworks.lib.vt.edu/items/5085379d-b24c-424e-8861-e70a47b4b2fb/full	; claim ceiling: Institutional reprint identity and historical relationship; repository marks it In Copyright
GPT5-SCIENCE	1	preprint-watchlist	Early science acceleration experiments with GPT-5	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/gpt5-science.pdf	https://arxiv.org/pdf/2511.16072	https://arxiv.org/abs/2511.16072	arXiv:2511.16072	2856880	sha256:412e2ddc5f7f2141cb7481f83e9d41fbc239dbcbe34395b18caab748aaeb5e52	evidence/weng/text/gpt5-science.txt	200057	sha256:b79c3567029c7de6abdf6e95d6a0b09c14bd713a8cacc8e0a60e09516863bb0b	evidence/weng/references/gpt5-science.txt	12892	sha256:be0b7182f6beae672bba0abb235f04d1c7591d1f03fdc370050138412e7f9a9b	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2511.16072	; claim ceiling: Identity only
HARNESS-DISENTANGLE	1	preprint-watchlist	Harness Updating Is Not Harness Benefit: Disentangling Evolution Capabilities in Self-Evolving LLM Agents	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/harness-disentangle.pdf	https://arxiv.org/pdf/2605.30621	https://arxiv.org/abs/2605.30621	arXiv:2605.30621	2463998	sha256:a3a09f90dc278f1c6ceee5a3f7bf807b5a92b642cbcb0123d20b824a0e880d6b	evidence/weng/text/harness-disentangle.txt	83563	sha256:7ae0352ce862a87a9e20b75fa57f982bc048cd29b7e6bd6444c7220950aea625	evidence/weng/references/harness-disentangle.txt	46773	sha256:e973f30dcff054343ea9241e7f6a46cef2e77e061d9a5a706c6a6834a8a880ff	references_extracted	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2605.30621	; claim ceiling: Identity only
HYPERAGENTS	1	preprint-watchlist	Hyperagents	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/hyperagents.pdf	https://arxiv.org/pdf/2603.19461	https://arxiv.org/abs/2603.19461	arXiv:2603.19461	9012806	sha256:92f9a73b43699c08c6000f7d4f1b68bec9fd872d217467fe4a1127e2f7981f1e	evidence/weng/text/hyperagents.txt	215046	sha256:63ada11576941d53c1f916308415f104015ade0395f25749cfe9ce1857b1b119	evidence/weng/references/hyperagents.txt	151234	sha256:9a6a5c6bc6bc6b34a51f53a45342ac1371eb9c9d9af44ba293605aab27891d21	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2603.19461	; claim ceiling: Identity only
KARPATHY-AUTORESEARCH	1	mutable-project	karpathy/autoresearch	git_metadata	fetched	evidence/weng/artifacts/git/karpathy-autoresearch/README.md	https://github.com/karpathy/autoresearch	https://github.com/karpathy/autoresearch	git:228791fb499afffb54b46200aca536f79142f117	8039	sha256:3958fd4195ac2f98ed35c4eaa4f3028a335165ee24945e96426c408d25793a41	evidence/weng/text/karpathy-autoresearch.txt	8039	sha256:3958fd4195ac2f98ed35c4eaa4f3028a335165ee24945e96426c408d25793a41	MISSING	0	MISSING	references_heading_not_found	unknown	https://github.com/karpathy/autoresearch	; claim ceiling: Identity and workflow-example relationship only
KERNELBENCH	1	preprint-watchlist	KernelBench: Can LLMs Write Efficient GPU Kernels?	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/kernelbench.pdf	https://arxiv.org/pdf/2502.10517v1	https://arxiv.org/abs/2502.10517	arXiv:2502.10517v1	3029709	sha256:fb1765807098915b853cca7a007aaa4bccdcd1a45eb1baef0d3919948abd7a6b	evidence/weng/text/kernelbench.txt	96063	sha256:58c2f1f519120246a8ddbb3663fd5842104a80c606bff70a2610f7d5e2d91191	evidence/weng/references/kernelbench.txt	60524	sha256:7b5cf588bb6e5a0057e0c0c2995d8206412005f6f8f3098a6fba9a23f4617457	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2502.10517	; claim ceiling: Abstract benchmark contract and reported baseline result
LEARNING-DISCOVER	1	preprint-watchlist	Learning to Discover at Test Time	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/learning-discover.pdf	https://arxiv.org/pdf/2601.16175	https://arxiv.org/abs/2601.16175	arXiv:2601.16175	1286088	sha256:4656ec28d800002d9a3e3f83a71c7d9032ef5f1873cd953b8808a8391ce06ec7	evidence/weng/text/learning-discover.txt	207981	sha256:695f4f31c63de8c305f743bcda256a19bd78be21682a0b466de9571b4c07e64c	evidence/weng/references/learning-discover.txt	141746	sha256:9da8afd3ca0b14d61f6f99a27007b374ab3e124960a52063e148b4f0296163cb	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2601.16175	; claim ceiling: Identity only
MCE	1	preprint-watchlist	Meta Context Engineering via Agentic Skill Evolution	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/mce.pdf	https://arxiv.org/pdf/2601.21557	https://arxiv.org/abs/2601.21557	arXiv:2601.21557	7311681	sha256:da2d47e8ade571d41fdca14da027542e363fb16f052a0c29499f3500351f0973	evidence/weng/text/mce.txt	142004	sha256:137797949567bc54784850ec8faccbbc409da801dd587b7a80f491dce132cec4	evidence/weng/references/mce.txt	95939	sha256:1cdeafb19b2ce6698542a16be331c1879e0677e17853290918300e3b4b76cf2a	references_extracted	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2601.21557	; claim ceiling: Identity only
META-HARNESS	1	preprint-watchlist	Meta-Harness: End-to-End Optimization of Model Harnesses	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/meta-harness.pdf	https://arxiv.org/pdf/2603.28052v1	https://arxiv.org/abs/2603.28052	arXiv:2603.28052v1	1078140	sha256:7d9b90f53a9f4801a090f1a4acb843340cde81e4f865f97d53fff2a6a570eb73	evidence/weng/text/meta-harness.txt	84092	sha256:69b5e62e033e205596f57f07d102b51ff98941675fad47ee2f38e2d360f7b0e5	evidence/weng/references/meta-harness.txt	46573	sha256:aa1946abaa4f7291d23876a335fe0a173ba45a48a61c3bf213257c96914b465b	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2603.28052	; claim ceiling: Abstract claims and measurements only
MLEBENCH	1	preprint-watchlist	MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/mlebench.pdf	https://arxiv.org/pdf/2410.07095	https://arxiv.org/abs/2410.07095	arXiv:2410.07095	817725	sha256:1dab9a33edeab25ea359c4d6857d03512ccd47ed5782631031cfe8dcbebe7988	evidence/weng/text/mlebench.txt	89124	sha256:3dcebcf8df884bc86aa4105349452776d8eb30a4ea90a7f49a8a9204a1987f28	evidence/weng/references/mlebench.txt	50890	sha256:1f89dc132a97729e5ee806ba406efd12a56287235beae5c63c8564e75c4f480a	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2410.07095	; claim ceiling: Identity only
NOT-SCIENTISTS	1	preprint-watchlist	Why LLMs Aren't Scientists Yet: Lessons from Four Autonomous Research Attempts	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/not-scientists.pdf	https://arxiv.org/pdf/2601.03315v1	https://arxiv.org/abs/2601.03315	arXiv:2601.03315v1	991820	sha256:c93ea715f2ef8d7ab8ec585074aa68f51e7178e9137302c0f63306f071e2e151	evidence/weng/text/not-scientists.txt	80690	sha256:290812623f598694ed044f52ee50ab345a6a002f7839710474e3fb064fa87e0a	evidence/weng/references/not-scientists.txt	35597	sha256:eefeb9cf7281e3effe51c903e90033579a509e1d4b94de0beca81122d9d5bb26	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2601.03315	; claim ceiling: Abstract case-study observations and limits
PAPERBENCH	1	established	PaperBench: Evaluating AI's Ability to Replicate AI Research	pdf_pmlr	fetched	evidence/weng/artifacts/pdf/paperbench.pdf	https://raw.githubusercontent.com/mlresearch/v267/main/assets/starace25a/starace25a.pdf	https://proceedings.mlr.press/v267/starace25a.html	PMLR 267:56843-56873	1591351	sha256:4115ec4e330474765c65438b7b17357eef840c37b859ce0e44cd2c0e14912a76	evidence/weng/text/paperbench.txt	104553	sha256:157995b41606df7592e1e1107bf0c2d4eaadb5eb569fdcd80c81eaa1e6decb18	evidence/weng/references/paperbench.txt	61981	sha256:0ca65915e8cb41197e4323d9d1dbcbd63ff38cf709e90df90ce203e480a165b5	references_extracted	unknown	https://proceedings.mlr.press/v267/starace25a.html	; claim ceiling: Official abstract, task counts, and reported result
PROMPTBREEDER	1	preprint-watchlist	Promptbreeder: Self-Referential Self-Improvement Via Prompt Evolution	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/promptbreeder.pdf	https://arxiv.org/pdf/2309.16797	https://arxiv.org/abs/2309.16797	arXiv:2309.16797	819158	sha256:0e5b44b77d345581509bb58b009fa7fef9928bf8c090b2a056e8916f25d974a0	evidence/weng/text/promptbreeder.txt	148915	sha256:aaac9588120eb7561f137033cdda9bdfe9d02b67614e0c15a36db0caf2949f8e	evidence/weng/references/promptbreeder.txt	110226	sha256:ba05c7413ec40cfda58e1c9b43f1887a86188788d3c6fddeb5b54601066d858c	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2309.16797	; claim ceiling: Identity only
QD-2016	2	established	Quality Diversity: A New Frontier for Evolutionary Computation	pdf_direct	fetched	evidence/weng/artifacts/pdf/qd-2016.pdf	https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2016.00040/pdf	https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2016.00040/full	DOI:10.3389/frobt.2016.00040	1425379	sha256:958a7bc41660a4613152d40b20da12e53343f01da0cc035d02b603793199d0d2	evidence/weng/text/qd-2016.txt	94676	sha256:53ea7bfd7a458252e5bdba38c746396d5b7888999a41857ea9a55f98c1e3f765	evidence/weng/references/qd-2016.txt	21252	sha256:34cb1569fc5f015c254d50325f4c2be9f2bb3102d5760840ae61c1a230aa0e4e	references_extracted	unknown	https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2016.00040/full	; claim ceiling: Article taxonomy and algorithm-family foundation; CC BY 4.0
REBENCH	1	established	RE-Bench: Evaluating Frontier AI R&D Capabilities of Language Model Agents against Human Experts	pdf_pmlr	fetched	evidence/weng/artifacts/pdf/rebench.pdf	https://raw.githubusercontent.com/mlresearch/v267/main/assets/wijk25a/wijk25a.pdf	https://proceedings.mlr.press/v267/wijk25a.html	PMLR 267:66772-66832	13952284	sha256:0208b92fe358754e6e245a2596d468961dba3fce9455da3f899e71f061af3df6	evidence/weng/text/rebench.txt	123941	sha256:88f5b2ce683df5aa17ec6d61a58e5591230359ab7160b7281aef75eb6b307407	evidence/weng/references/rebench.txt	85503	sha256:79128cd8f84d43077e3c21fd1db6bcf055532573685427c707ceb03ddb97c44a	references_extracted	unknown	https://proceedings.mlr.press/v267/wijk25a.html	; claim ceiling: Official abstract and time-budget comparisons
SCIENCEAGENTBENCH	1	established	ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/scienceagentbench.pdf	https://arxiv.org/pdf/2410.05080	https://arxiv.org/abs/2410.05080	arXiv:2410.05080	2011302	sha256:da5b44b1d7ff4992127ce32daf5343031a109b7104d743bb18f0803fc904da7b	evidence/weng/text/scienceagentbench.txt	189755	sha256:9ea34c3ffaf7a2ab939c6f866396070bc8c5c07c099d37c37116e2e931e2a8e7	evidence/weng/references/scienceagentbench.txt	142497	sha256:ee49ae64a29b91a9313d450806955c25a67eb39a0cb03c951deaf768add43d91	references_extracted	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2410.05080	; claim ceiling: Identity only
