source_id	depth	cohort	title	relationship	artifact_kind	original_locator	version_hint	acquisition_url	license_metadata_url	claim_ceiling
CONTINUAL-HARNESS	1	preprint-watchlist	Continual Harness: Online Adaptation for Self-Improving Foundation Agents	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2605.09998	arXiv:2605.09998	https://arxiv.org/pdf/2605.09998	https://export.arxiv.org/api/query?id_list=2605.09998	Identity only
COREBENCH	1	established	CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2409.11363	arXiv:2409.11363	https://arxiv.org/pdf/2409.11363	https://export.arxiv.org/api/query?id_list=2409.11363	Identity only
DEMOEVOLVE	1	preprint-watchlist	DemoEvolve: Overcoming Sparse Feedback in Agentic Harness Evolution with Demonstrations	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2605.24539	arXiv:2605.24539	https://arxiv.org/pdf/2605.24539	https://export.arxiv.org/api/query?id_list=2605.24539	Identity only
DGM	1	preprint-watchlist	Darwin Gödel Machine: Open-Ended Evolution of Self-Improving Agents	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2505.22954	arXiv:2505.22954v3	https://arxiv.org/pdf/2505.22954v3	https://export.arxiv.org/api/query?id_list=2505.22954	Abstract, mechanism, reported results, and explicit frozen-FM limitation
EPISTEMIC-DISCOVERY	1	preprint-watchlist	Epistemic Uncertainty for Test-Time Discovery	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2605.11328	arXiv:2605.11328	https://arxiv.org/pdf/2605.11328	https://export.arxiv.org/api/query?id_list=2605.11328	Identity only
GEPA	1	preprint-watchlist	GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2507.19457	arXiv:2507.19457	https://arxiv.org/pdf/2507.19457	https://export.arxiv.org/api/query?id_list=2507.19457	Identity only
GOOD-1965	1	established	Speculations Concerning the First Ultraintelligent Machine	cited by WENG-HARNESS	pdf_direct	https://philpapers.org/rec/GOOSCT	Advances in Computers 6 (1965), Virginia Tech reprint	https://vtechworks.lib.vt.edu/bitstreams/a5e423ee-54e0-4eec-aeca-32b73f851af5/download	https://vtechworks.lib.vt.edu/items/5085379d-b24c-424e-8861-e70a47b4b2fb/full	Institutional reprint identity and historical relationship; repository marks it In Copyright
GPT5-SCIENCE	1	preprint-watchlist	Early science acceleration experiments with GPT-5	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2511.16072	arXiv:2511.16072	https://arxiv.org/pdf/2511.16072	https://export.arxiv.org/api/query?id_list=2511.16072	Identity only
HARNESS-DISENTANGLE	1	preprint-watchlist	Harness Updating Is Not Harness Benefit: Disentangling Evolution Capabilities in Self-Evolving LLM Agents	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2605.30621	arXiv:2605.30621	https://arxiv.org/pdf/2605.30621	https://export.arxiv.org/api/query?id_list=2605.30621	Identity only
HYPERAGENTS	1	preprint-watchlist	Hyperagents	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2603.19461	arXiv:2603.19461	https://arxiv.org/pdf/2603.19461	https://export.arxiv.org/api/query?id_list=2603.19461	Identity only
KARPATHY-AUTORESEARCH	1	mutable-project	karpathy/autoresearch	body-linked by WENG-HARNESS	git_metadata	https://github.com/karpathy/autoresearch	MISSING	https://github.com/karpathy/autoresearch	https://github.com/karpathy/autoresearch	Identity and workflow-example relationship only
KERNELBENCH	1	preprint-watchlist	KernelBench: Can LLMs Write Efficient GPU Kernels?	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2502.10517	arXiv:2502.10517v1	https://arxiv.org/pdf/2502.10517v1	https://export.arxiv.org/api/query?id_list=2502.10517	Abstract benchmark contract and reported baseline result
LEARNING-DISCOVER	1	preprint-watchlist	Learning to Discover at Test Time	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2601.16175	arXiv:2601.16175	https://arxiv.org/pdf/2601.16175	https://export.arxiv.org/api/query?id_list=2601.16175	Identity only
MCE	1	preprint-watchlist	Meta Context Engineering via Agentic Skill Evolution	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2601.21557	arXiv:2601.21557	https://arxiv.org/pdf/2601.21557	https://export.arxiv.org/api/query?id_list=2601.21557	Identity only
META-HARNESS	1	preprint-watchlist	Meta-Harness: End-to-End Optimization of Model Harnesses	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2603.28052	arXiv:2603.28052v1	https://arxiv.org/pdf/2603.28052v1	https://export.arxiv.org/api/query?id_list=2603.28052	Abstract claims and measurements only
MLEBENCH	1	preprint-watchlist	MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2410.07095	arXiv:2410.07095	https://arxiv.org/pdf/2410.07095	https://export.arxiv.org/api/query?id_list=2410.07095	Identity only
NOT-SCIENTISTS	1	preprint-watchlist	Why LLMs Aren't Scientists Yet: Lessons from Four Autonomous Research Attempts	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2601.03315	arXiv:2601.03315v1	https://arxiv.org/pdf/2601.03315v1	https://export.arxiv.org/api/query?id_list=2601.03315	Abstract case-study observations and limits
PAPERBENCH	1	established	PaperBench: Evaluating AI's Ability to Replicate AI Research	cited by WENG-HARNESS	pdf_pmlr	https://proceedings.mlr.press/v267/starace25a.html	PMLR 267:56843-56873	https://raw.githubusercontent.com/mlresearch/v267/main/assets/starace25a/starace25a.pdf	https://proceedings.mlr.press/v267/starace25a.html	Official abstract, task counts, and reported result
PROMPTBREEDER	1	preprint-watchlist	Promptbreeder: Self-Referential Self-Improvement Via Prompt Evolution	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2309.16797	arXiv:2309.16797	https://arxiv.org/pdf/2309.16797	https://export.arxiv.org/api/query?id_list=2309.16797	Identity only
REBENCH	1	established	RE-Bench: Evaluating Frontier AI R&D Capabilities of Language Model Agents against Human Experts	cited by WENG-HARNESS	pdf_pmlr	https://proceedings.mlr.press/v267/wijk25a.html	PMLR 267:66772-66832	https://raw.githubusercontent.com/mlresearch/v267/main/assets/wijk25a/wijk25a.pdf	https://proceedings.mlr.press/v267/wijk25a.html	Official abstract and time-budget comparisons
SCIENCEAGENTBENCH	1	established	ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2410.05080	arXiv:2410.05080	https://arxiv.org/pdf/2410.05080	https://export.arxiv.org/api/query?id_list=2410.05080	Identity only
SCIENTISTONE	1	preprint-watchlist	ScientistOne: Towards Human-Level Autonomous Research via Chain-of-Evidence	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2605.26340	arXiv:2605.26340	https://arxiv.org/pdf/2605.26340	https://export.arxiv.org/api/query?id_list=2605.26340	Identity only
SELF-HARNESS	1	preprint-watchlist	Self-Harness: Harnesses That Improve Themselves	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2606.09498	arXiv:2606.09498v1	https://arxiv.org/pdf/2606.09498v1	https://export.arxiv.org/api/query?id_list=2606.09498	Abstract mechanism and author-reported measurements
SELF-REFINE	1	established	Self-Refine: Iterative Refinement with Self-Feedback	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2303.17651	arXiv:2303.17651	https://arxiv.org/pdf/2303.17651	https://export.arxiv.org/api/query?id_list=2303.17651	Identity only
SELF-REWARDING	1	preprint-watchlist	Self-Rewarding Language Models	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2401.10020	arXiv:2401.10020	https://arxiv.org/pdf/2401.10020	https://export.arxiv.org/api/query?id_list=2401.10020	Identity only
SHINKAEVOLVE	1	preprint-watchlist	ShinkaEvolve: Towards Open-Ended And Sample-Efficient Program Evolution	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2509.19349	arXiv:2509.19349	https://arxiv.org/pdf/2509.19349	https://export.arxiv.org/api/query?id_list=2509.19349	Identity only
SIA	1	preprint-watchlist	SIA: Self Improving AI with Harness & Weight Updates	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2605.27276	arXiv:2605.27276v2	https://arxiv.org/pdf/2605.27276v2	https://export.arxiv.org/api/query?id_list=2605.27276	Abstract mechanism and author-reported results; confounds remain
SPIN	1	established	Self-Play Fine-Tuning Converts Weak Language Models to Strong Language Models	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2401.01335	arXiv:2401.01335	https://arxiv.org/pdf/2401.01335	https://export.arxiv.org/api/query?id_list=2401.01335	Identity only
STOP	1	established	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2310.02304	arXiv:2310.02304v3	https://arxiv.org/pdf/2310.02304v3	https://export.arxiv.org/api/query?id_list=2310.02304	Abstract claims and explicit full-RSI limitation
THETAEVOLVE	1	preprint-watchlist	ThetaEvolve: Test-time Learning on Open Problems	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2511.23473	arXiv:2511.23473	https://arxiv.org/pdf/2511.23473	https://export.arxiv.org/api/query?id_list=2511.23473	Identity only
WENG-REWARD	1	secondary-anchor	Reward Hacking in Reinforcement Learning	body-linked by WENG-HARNESS	html	https://lilianweng.github.io/posts/2024-11-28-reward-hacking/	mutable page retrieved 2026-07-31	https://lilianweng.github.io/posts/2024-11-28-reward-hacking/	https://lilianweng.github.io/posts/2024-11-28-reward-hacking/	Secondary reward-hacking and evaluator-bias synthesis
YUDKOWSKY-2008	1	established	Recursive Self-Improvement	cited by WENG-HARNESS	html	https://www.lesswrong.com/posts/JBadX7rwdcRFzGuju/recursive-self-improvement	GreaterWrong mirror retrieved 2026-07-31	https://www.greaterwrong.com/posts/JBadX7rwdcRFzGuju/recursive-self-improvement?format=html	https://www.lesswrong.com/posts/JBadX7rwdcRFzGuju/recursive-self-improvement	Mirror of the original post; identity and terminology lineage only
CONCRETE-SAFETY	2	established	Concrete Problems in AI Safety	cited by WENG-REWARD	pdf_arxiv	https://arxiv.org/abs/1606.06565	arXiv:1606.06565v2	https://arxiv.org/pdf/1606.06565v2	https://export.arxiv.org/api/query?id_list=1606.06565	Abstract taxonomy including reward hacking and scalable supervision
FUNSEARCH	2	established	Mathematical discoveries from program search with large language models	predecessor cited by ALPHAEVOLVE and DGM	html	https://www.nature.com/articles/s41586-023-06924-6	DOI:10.1038/s41586-023-06924-6	https://www.nature.com/articles/s41586-023-06924-6	https://www.nature.com/articles/s41586-023-06924-6	Article mechanism, evaluator contract, and reported discoveries
GODEL-MACHINE	2	established	Gödel Machines: Fully Self-referential Optimal Universal Self-improvers	cited by DGM	html	https://link.springer.com/chapter/10.1007/978-3-540-68677-4_7	DOI:10.1007/978-3-540-68677-4_7	https://link.springer.com/chapter/10.1007/978-3-540-68677-4_7	https://link.springer.com/chapter/10.1007/978-3-540-68677-4_7	Publisher summary only; full text blocked
QD-2016	2	established	Quality Diversity: A New Frontier for Evolutionary Computation	cited by DGM	pdf_direct	https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2016.00040/full	DOI:10.3389/frobt.2016.00040	https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2016.00040/pdf	https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2016.00040/full	Article taxonomy and algorithm-family foundation; CC BY 4.0
