label	source_id	depth	cohort	access_status	artifact	relationship	primary_locator	version_or_digest	venue_status	inspected_on	claim_ceiling
MISSING	HYPERAGENTS	1	preprint-watchlist	vendored-uninspected	Hyperagents	cited by WENG-HARNESS	https://arxiv.org/abs/2603.19461	arXiv:2603.19461 | sha256:92f9a73b43699c08c6000f7d4f1b68bec9fd872d217467fe4a1127e2f7981f1e	preprint	2026-07-31	Identity only
MISSING	LEARNING-DISCOVER	1	preprint-watchlist	vendored-uninspected	Learning to Discover at Test Time	cited by WENG-HARNESS	https://arxiv.org/abs/2601.16175	arXiv:2601.16175 | sha256:4656ec28d800002d9a3e3f83a71c7d9032ef5f1873cd953b8808a8391ce06ec7	preprint	2026-07-31	Identity only
MISSING	EPISTEMIC-DISCOVERY	1	preprint-watchlist	vendored-uninspected	Epistemic Uncertainty for Test-Time Discovery	cited by WENG-HARNESS	https://arxiv.org/abs/2605.11328	arXiv:2605.11328 | sha256:a5b1d9e0652c74d9881521749175689567b9eb1150de19ba0b857f7c156e72f8	preprint	2026-07-31	Identity only
EVIDENCE	SIA	1	preprint-watchlist	vendored-inspected	SIA: Self Improving AI with Harness & Weight Updates	cited by WENG-HARNESS	https://arxiv.org/abs/2605.27276	arXiv:2605.27276v2 | sha256:3f75a62487a5fb3fc2db8d06b78e6f6d598fc46b446cdfa9e205c33fb41de265	preprint	2026-07-31	Abstract mechanism and author-reported results; confounds remain
EVIDENCE	NOT-SCIENTISTS	1	preprint-watchlist	vendored-inspected	Why LLMs Aren't Scientists Yet: Lessons from Four Autonomous Research Attempts	cited by WENG-HARNESS	https://arxiv.org/abs/2601.03315	arXiv:2601.03315v1 | sha256:c93ea715f2ef8d7ab8ec585074aa68f51e7178e9137302c0f63306f071e2e151	preprint	2026-07-31	Abstract case-study observations and limits
MISSING	GPT5-SCIENCE	1	preprint-watchlist	vendored-uninspected	Early science acceleration experiments with GPT-5	cited by WENG-HARNESS	https://arxiv.org/abs/2511.16072	arXiv:2511.16072 | sha256:412e2ddc5f7f2141cb7481f83e9d41fbc239dbcbe34395b18caab748aaeb5e52	preprint	2026-07-31	Identity only
EVIDENCE	PAPERBENCH	1	established	vendored-inspected	PaperBench: Evaluating AI's Ability to Replicate AI Research	cited by WENG-HARNESS	https://proceedings.mlr.press/v267/starace25a.html	PMLR 267:56843-56873 | sha256:4115ec4e330474765c65438b7b17357eef840c37b859ce0e44cd2c0e14912a76	ICML 2025 official proceedings	2026-07-31	Official abstract, task counts, and reported result
EVIDENCE	REBENCH	1	established	vendored-inspected	RE-Bench: Evaluating Frontier AI R&D Capabilities of Language Model Agents against Human Experts	cited by WENG-HARNESS	https://proceedings.mlr.press/v267/wijk25a.html	PMLR 267:66772-66832 | sha256:0208b92fe358754e6e245a2596d468961dba3fce9455da3f899e71f061af3df6	ICML 2025 official proceedings	2026-07-31	Official abstract and time-budget comparisons
MISSING	MLEBENCH	1	preprint-watchlist	vendored-uninspected	MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering	cited by WENG-HARNESS	https://arxiv.org/abs/2410.07095	arXiv:2410.07095 | sha256:1dab9a33edeab25ea359c4d6857d03512ccd47ed5782631031cfe8dcbebe7988	MISSING	2026-07-31	Identity only
MISSING	SCIENCEAGENTBENCH	1	established	vendored-uninspected	ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery	cited by WENG-HARNESS	https://arxiv.org/abs/2410.05080	arXiv:2410.05080 | sha256:da5b44b1d7ff4992127ce32daf5343031a109b7104d743bb18f0803fc904da7b	ICLR 2025 reported by anchor; official status not verified	2026-07-31	Identity only
MISSING	COREBENCH	1	established	vendored-uninspected	CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark	cited by WENG-HARNESS	https://arxiv.org/abs/2409.11363	arXiv:2409.11363 | sha256:1d1fbe8a3cf472fc468495e6a3bcd6b90224ba1eae3dac8d8174f98d666c3d76	TMLR 2024 reported by anchor; official status not verified	2026-07-31	Identity only
EVIDENCE	KERNELBENCH	1	preprint-watchlist	vendored-inspected	KernelBench: Can LLMs Write Efficient GPU Kernels?	cited by WENG-HARNESS	https://arxiv.org/abs/2502.10517	arXiv:2502.10517v1 | sha256:fb1765807098915b853cca7a007aaa4bccdcd1a45eb1baef0d3919948abd7a6b	preprint	2026-07-31	Abstract benchmark contract and reported baseline result
EVIDENCE	HARNESS-DISENTANGLE	1	preprint-watchlist	vendored-inspected	Harness Updating Is Not Harness Benefit: Disentangling Evolution Capabilities in Self-Evolving LLM Agents	cited by WENG-HARNESS	https://arxiv.org/abs/2605.30621	arXiv:2605.30621 | sha256:a3a09f90dc278f1c6ceee5a3f7bf807b5a92b642cbcb0123d20b824a0e880d6b	preprint	2026-08-01	Formal capability decomposition in §§3.1–3.3; author-reported seven-model, three-benchmark results and activation/adherence analysis in §4; fixed-weight scope, audit controls, and deployment limitations in §§6–7
EVIDENCE	AHE	1	preprint-watchlist	vendored-inspected	Agentic Harness Engineering: Observability-Driven Automatic Evolution of Coding-Agent Harnesses	cited by WENG-HARNESS	https://arxiv.org/abs/2604.25850	arXiv:2604.25850v4 | sha256:299f2633b4c13db7bed52434b4db7c48ea621993581014d30e7bcd036d3464df	preprint	2026-07-31	Abstract mechanism, measurements, transfer claim, and ablation
EVIDENCE	CONTINUAL-HARNESS	1	preprint-watchlist	vendored-inspected	Continual Harness: Online Adaptation for Self-Improving Foundation Agents	cited by WENG-HARNESS	https://arxiv.org/abs/2605.09998	arXiv:2605.09998v1 | sha256:50f60996b0d962cdbf01f5b6a262ccd68b149c8b67cc2594218453717ea0c45e	preprint	2026-08-01	DAgger-style teacher relabeling, process-reward scoring, reset-free state propagation, and author-reported co-learning results; no independent reproduction
MISSING	DEMOEVOLVE	1	preprint-watchlist	vendored-uninspected	DemoEvolve: Overcoming Sparse Feedback in Agentic Harness Evolution with Demonstrations	cited by WENG-HARNESS	https://arxiv.org/abs/2605.24539	arXiv:2605.24539 | sha256:743dd673dae5fc6f2d048e7a8794587b880ec0deb2782ac6ac2520085dc9dfa7	preprint	2026-07-31	Identity only
EVIDENCE	KARPATHY-AUTORESEARCH	1	implementation-snapshot	fetched-local-inspected	evidence/implementations/autoresearch/snapshot	body-linked by WENG-HARNESS	https://github.com/karpathy/autoresearch	git:228791fb499afffb54b46200aca536f79142f117 | sha256:3958fd4195ac2f98ed35c4eaa4f3028a335165ee24945e96426c408d25793a41	GitHub repository	2026-08-01	Present-day README and program workflow behavior at the pinned commit; no execution, benchmark reproduction, or RSI efficacy claim
EVIDENCE	WENG-REWARD	1	secondary-anchor	vendored-inspected	Reward Hacking in Reinforcement Learning	body-linked by WENG-HARNESS	https://lilianweng.github.io/posts/2024-11-28-reward-hacking/	mutable page retrieved 2026-07-31 | sha256:99da73635a1800451d546644414161325c9fcd1455e971df5bf3dce987bbdd4e	Lil'Log 2024-11-28	2026-07-31	Secondary reward-hacking and evaluator-bias synthesis
MISSING	ANTHROPIC-RSI	1	mutable-position	vendored-uninspected	When AI Builds Itself	body-linked by WENG-HARNESS	https://www.anthropic.com/institute/recursive-self-improvement	MISSING | sha256:c01636ecb5fe360c07398eae9b273e7732208d91c1de285aca2e757d643d69d4	company research essay	2026-07-31	Identity and successor-development framing only
EVIDENCE	GODEL-MACHINE	2	established	vendored-partial	Gödel Machines: Fully Self-referential Optimal Universal Self-improvers	cited by DGM	https://link.springer.com/chapter/10.1007/978-3-540-68677-4_7	DOI:10.1007/978-3-540-68677-4_7 | sha256:be0b8d6cedae076c3adbf1b472e742d6ebf31fff7e415c03c5df680a41e04426	AGI 2007 book chapter	2026-07-31	Publisher summary only; full text blocked
EVIDENCE	QD-2016	2	established	vendored-inspected	Quality Diversity: A New Frontier for Evolutionary Computation	cited by DGM	https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2016.00040/full	DOI:10.3389/frobt.2016.00040 | sha256:958a7bc41660a4613152d40b20da12e53343f01da0cc035d02b603793199d0d2	Frontiers in Robotics and AI 2016	2026-07-31	Article taxonomy and algorithm-family foundation
EVIDENCE	FUNSEARCH	2	established	vendored-inspected	Mathematical discoveries from program search with large language models	predecessor cited by ALPHAEVOLVE and DGM	https://www.nature.com/articles/s41586-023-06924-6	DOI:10.1038/s41586-023-06924-6 | sha256:1841eeb5c2e9c255f50be0efd339df034d1cb207870c79ece08e742c909e1120	Nature 625 (2024)	2026-07-31	Article mechanism, evaluator contract, and reported discoveries
EVIDENCE	CONCRETE-SAFETY	2	established	vendored-inspected	Concrete Problems in AI Safety	cited by WENG-REWARD	https://arxiv.org/abs/1606.06565	arXiv:1606.06565v2 | sha256:a3ac7eda67026d6d95f2182b1202ac371b7d9feabcc10a48dc90e417fbac023e	preprint record; publication status not checked	2026-07-31	Abstract taxonomy including reward hacking and scalable supervision
EVIDENCE	PI-MONO	NA	implementation-snapshot	fetched-local-inspected	Pi monorepo	user-requested implementation overlay	evidence/implementations/pi/snapshot	git:4488ad55c18f07ae89a489096c90de8667b3adfb	GitHub repository	2026-08-01	Present-day source behavior at named commit; no benchmark, historical, or RSI efficacy claim
EVIDENCE	HERMES-AGENT	NA	implementation-snapshot	fetched-local-inspected	Hermes Agent	user-requested implementation overlay	evidence/implementations/hermes/snapshot	git:e444d165807f489b5c1ab8e4a612c8d09c2e67a2	GitHub repository	2026-08-01	Present-day source and maintainer-contract behavior; no independent validation of self-improvement claims
EVIDENCE	CODEX-REPO	NA	implementation-snapshot	fetched-local-inspected	OpenAI Codex	user-requested implementation overlay	evidence/implementations/codex-rsi/snapshot	git:1e85ca099e4265bf89f4016772d299816e231bb3	GitHub repository	2026-08-02	Typed history, encrypted reasoning request, world-state diffing, compaction, rollout replay, memory pipeline, lineage, tools, permissions, and sandbox behavior at the named commit; no autonomous self-evolution or RSI efficacy claim
EVIDENCE	ARC-AGI3-BENCH	NA	implementation-snapshot	fetched-local-inspected	ARC-AGI-3 benchmarking harness	user-requested implementation overlay	evidence/implementations/arc-agi-3/snapshot	git:86d72170ce3155551712a9fafd290bab471d6eee	GitHub repository	2026-08-02	Visible transcript trimming and server-managed Responses adapter behavior at the named commit; no benchmark run or score reproduction
CLAIM	OPENAI-ARC-ARTICLE	NA	result-article	user-provided-claim-ledger	How two settings tripled our ARC-AGI-3 scores	motivates state-continuity analysis	https://openai.com/index/how-two-settings-tripled-our-arc-agi-3-scores/	blocked HTTP 403 on 2026-08-02 | user-provided claim packet	OpenAI product/research article	2026-08-02	Company-reported aggregate scores, token reduction, and interpretation from the user-provided packet; no independent reproduction or live-page capture
EVIDENCE	OPENAI-COMPACTION-DOC	NA	mutable-documentation	captured-claim-ledger	Compaction | OpenAI API	documents server-side and standalone compaction	content/sources/codex-state-continuity-claims.tsv	https://developers.openai.com/api/docs/guides/compaction | sha256:272289a464456803422a33ff5091dc3a860196dc0de3a00d2550cb0dad3eb3ee | 353044 bytes	OpenAI API documentation	2026-08-02	Server-side and standalone compaction contract, opaque compaction items, previous_response_id guidance, and pruning boundary extracted from the retrieved page
CLAIM	OPENAI-RESPONSES-FEATURE	NA	product-article	user-provided-claim-ledger	New tools and features in the Responses API	supports reasoning-continuity framing	https://openai.com/index/new-tools-and-features-in-the-responses-api/	blocked HTTP 403 on 2026-08-02 | user-provided claim packet	OpenAI product article	2026-08-02	Company claim about encrypted reasoning reuse, token use, and continuity from the user-provided packet; client source independently confirms only request and round-trip shape
CLAIM	A1ZHANG-X-POST	NA	anchor-announcement	fetched-local	Post by @a1zhang on X	announces A1ZHANG-HARNESS-BLOG	https://x.com/a1zhang/status/2079203524395573442	X status 2079203524395573442 | sha256:d9bbc0c035f57a49b41159d4f3f28a9b1892a591bb863b62569141b5724601bb	not-applicable	2026-08-01	Author summary and thread framing only
EVIDENCE	A1ZHANG-HARNESS-BLOG	0	research-anchor	vendored-inspected	Language model harnesses are compositional generalizers	develops the RLM anchor's post-training and compositional-generalization claims	evidence/rlm/artifacts/html/language-model-harnesses-are-compositional-generalizers.html	2026-07-20 | sha256:bdee3be5c01e0d2063da7006cddd3f6327a561505431baf8b93dd53356d59cb6	author technical blog	2026-08-01	Author claims, experiment configuration, reported results, caveats, and open questions; no independent reproduction
EVIDENCE	RLM-PAPER	0	research-anchor	vendored-inspected	Recursive Language Models	introduces the RLM mechanism anchor	https://arxiv.org/abs/2512.24601	arXiv:2512.24601v3 | sha256:8567362c22768d9b50d4a4a8d63bb28dda2c2b2051be30d67f70f645170429ca	preprint	2026-08-01	Mechanism and author-reported results at arXiv v3; no independent replication claim
EVIDENCE	RLM-REPO	NA	implementation-snapshot	vendored-metadata-inspected	alexzhang13/rlm	implements RLM-PAPER	evidence/rlm/artifacts/git/README.md	git:72d6940142ddfb84ee6be573dc999a37e633e671 | sha256:bf474469d4396773080a9585fc095c64f0da9089698a3a1982065aee4932e1b5	GitHub repository	2026-08-01	README and license behavior at named commit; upstream code was not executed
