label	source_id	relationship	target_id	evidence_locator	status	boundary
EVIDENCE	WENG-HARNESS	cites	MLEBENCH	Reference 32	verified	Primary source owns the offline Kaggle benchmark, private-leaderboard medal metric, o1-preview with AIDE 16-seed mean-and-SEM endpoint, public-versus-private leaderboard discrepancy, human-comparator caveats, and contamination, split, scope, and resource limits; no independent reproduction
EVIDENCE	WENG-HARNESS	cites	SCIENCEAGENTBENCH	Reference 33	verified	Primary source owns expert-and-annotator validation, Table 3 selected-best versus Appendix E.1 mean accounting, Claude-3.5-Sonnet self-debug and o1-preview endpoints and costs, taxonomy discrepancy, contamination mitigations, human rubric evaluation, and Ethics and Limitations public-data and laboratory-access boundaries; no independent reproduction
EVIDENCE	WENG-HARNESS	cites	COREBENCH	Reference 34	verified	Primary source owns the unresolved manuscript, arXiv, and Weng venue identity, Table 5 and Appendix A3 three-run CORE-Agent with GPT-4o mean and 95% CI, Appendix C.3 pass@1/pass@3 accounting, GPT-4o-mini comparison, and cost, safety, and construct limits; no independent reproduction
EVIDENCE	WENG-HARNESS	cites	KERNELBENCH	Reference 35	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	HARNESS-DISENTANGLE	Reference 36	verified	Primary source owns capability decomposition, reported results, and limitations
EVIDENCE	WENG-HARNESS	cites	AHE	Reference 37	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	CONTINUAL-HARNESS	Reference 38 and Joint Optimization with Model Weights	verified	Primary source owns co-learning mechanism and reported results
EVIDENCE	WENG-HARNESS	cites	DEMOEVOLVE	Reference 39	verified	Primary source owns demonstration-guided frozen-model harness evolution, the bounded fixed-seed Balatro result, the causal-audit warning, and task-coverage limits; no independent reproduction
EVIDENCE	WENG-HARNESS	body-links	KARPATHY-AUTORESEARCH	Harness Design Patterns / Workflow Automation	verified	Pinned source owns current workflow, mutation-boundary, budget, metric, logging, and keep/discard behavior; no RSI efficacy claim
EVIDENCE	WENG-HARNESS	body-links	WENG-REWARD	Self-Improving Harness / reward hacking concern	verified	Secondary safety synthesis
EVIDENCE	WENG-HARNESS	body-links	ANTHROPIC-RSI	Introduction / AI progress link	verified	Company framing only
EVIDENCE	DGM	extends	GODEL-MACHINE	Abstract and §§1-3	verified	DGM substitutes empirical benchmark selection for proof-certified rewrite
EVIDENCE	DGM	requires	QD-2016	§§1-3 and bibliography	verified	Archive diversity foundation
EVIDENCE	DGM	compares-with	FUNSEARCH	Related work and bibliography	verified	Program-evolution predecessor, not the same editable object
EVIDENCE	DGM-REPO	implements	DGM	DGM_outer.py, self_improve_step.py, coding_agent.py, and benchmark harnesses at git:a565fd2d1dca504ef5104a7cc0f3bdc4ab9b4fd2	verified-current-source	Present-day released implementation only; does not prove historical experiment identity or reproduce reported results
EVIDENCE	ALPHAEVOLVE	extends	FUNSEARCH	Abstract, prior automated discovery methods	verified	AlphaEvolve broadens code and evaluator applications
EVIDENCE	WENG-REWARD	extends	CONCRETE-SAFETY	Let's Define Reward Hacking	verified	Secondary synthesis follows primary safety taxonomy
EVIDENCE	META-HARNESS	extends	ACE	Abstract and anchor synthesis	inferred	Conceptual progression from context artifact to context-management code
EVIDENCE	SELF-HARNESS	extends	STOP	Abstract and anchor synthesis	inferred	Both improve executable scaffolding; direct implementation lineage not claimed
EVIDENCE	AHE	critiques	SELF-HARNESS	Abstract and anchor synthesis	inferred	Adds explicit observability and falsifiable edit contracts
EVIDENCE	PAPERBENCH	evaluates	AI-SCIENTIST	Benchmark task identity	inferred	Replication benchmark probes one AI-research capability, not the same system
EVIDENCE	REBENCH	evaluates	AI-SCIENTIST	Benchmark task identity	inferred	Research-engineering environments probe a subset of autonomous research
EVIDENCE	KERNELBENCH	evaluates	ALPHAEVOLVE	Correctness and speed evaluator	inferred	Represents a tractable AI-for-AI engineering sub-loop
INFERENCE	SIA	combines	META-HARNESS	Abstract	inferred	Harness update branch
INFERENCE	SIA	combines	CONTINUAL-HARNESS	Abstract and anchor synthesis	inferred	Adjacent joint-adaptation branches; direct implementation lineage is not claimed
INFERENCE	PI-MONO	implements-harness-pattern	WENG-HARNESS	packages/agent/src/agent-loop.ts and packages/coding-agent/README.md	verified-current-source	Implementation example only; no direct lineage or RSI claim
INFERENCE	HERMES-AGENT	implements-harness-pattern	WENG-HARNESS	AGENTS.md agent loop, delegation, and curator sections	verified-current-source	Implementation example only; project self-improvement claims remain unvalidated here
INFERENCE	CODEX-REPO	implements-harness-pattern	WENG-HARNESS	codex-rs/core context manager, world state, client, compaction, replay, memories, tools, thread manager, and sandboxing paths	verified-current-source	Implementation example only; no autonomous harness optimizer observed
INFERENCE	DEEPSEEK-HARNESS	implements-harness-pattern	WENG-HARNESS	docs/architecture.md, packages/core/agent-loop/src/agent.ts, packages/core/session/src/types.ts, packages/core/tools/src/index.ts, packages/sandbox/sandbox-policy/src/index.ts, packages/subagent/subagent/src/types.ts at git:47f943859bef60e4160492346772ded9b24f765a	verified-current-source	Implementation example only; no DeepSWE score, direct Weng lineage, or autonomous harness optimizer observed
EVIDENCE	ARC-AGI3-BENCH	implements-baseline-and-server-state	OPENAI-ARC-ARTICLE	benchmarking/agent.py and benchmarking/runtime_adapters.py at git:86d72170ce3155551712a9fafd290bab471d6eee	verified-current-source	Implements the compared harness mechanisms; does not independently reproduce the article's score claims
EVIDENCE	CODEX-REPO	implements-state-continuity	OPENAI-ARC-ARTICLE	codex-rs/core context manager, client, compaction, rollout reconstruction, and memories paths at git:1e85ca099e4265bf89f4016772d299816e231bb3	verified-current-source	Richer Codex architecture is an implementation overlay, not the exact optimized ARC harness
EVIDENCE	OPENAI-COMPACTION-DOC	documents	CODEX-REPO	Server-side compaction and standalone compact endpoint sections	verified-mutable-source	Documents API contract, not Codex implementation correctness or semantic-fidelity guarantees
CLAIM	OPENAI-RESPONSES-FEATURE	contextualizes	CODEX-REPO	User-provided claim packet	blocked-live-source	Company continuity and token-use claim; only the encrypted-reasoning request shape is source-confirmed here
EVIDENCE	A1ZHANG-X-POST	announces	A1ZHANG-HARNESS-BLOG	X status 2079203524395573442	verified	The blog is the canonical substantive source
INFERENCE	A1ZHANG-HARNESS-BLOG	parallel-anchor	WENG-HARNESS	Opening through The capacity for compositional generalization can live in the harness	verified	Complementary RSI anchors; the RLM blog post-dates Weng and is not part of Weng's bibliography
EVIDENCE	A1ZHANG-HARNESS-BLOG	uses	RLM-PAPER	RLM mechanism and experiment sections	verified	The blog trains the root model inside the RLM harness introduced by the paper
EVIDENCE	RLM-REPO	implements	RLM-PAPER	evidence/implementations/rlm/snapshot at git:72d6940142ddfb84ee6be573dc999a37e633e671	verified-current-source	Narrow implementation snapshot makes controller and runtime boundaries concrete; no benchmark or production-safety claim
EVIDENCE	RLM-MINIMAL	teaches	RLM-PAPER	evidence/implementations/rlm-minimal/snapshot at git:973f8d4acf3af2c86dc170af91607bf8b0c4d0ea	verified-current-source	Short depth-one implementation makes the mechanism inspectable; it is not the paper runtime or a result reproduction
EVIDENCE	META-HARNESS-SITE	reports-on	META-HARNESS	evidence/meta_harness/site/index.html and static/data	verified-dated-first-party	Site claims and visualizations remain first-party reported evidence; venue wording is not independently verified
EVIDENCE	META-HARNESS-REPO	implements	META-HARNESS	evidence/implementations/meta_harness/snapshot at git:44b9942127847f7421db70d8c7e48407f09a3c70	verified-current-source	Cleaned paper code makes interfaces concrete but is not an independent reproduction
EVIDENCE	META-HARNESS-TB2-ARTIFACT	instantiates	META-HARNESS-REPO	evidence/implementations/meta_harness_tb2_artifact/snapshot at git:57fefdb2ff84af3fd81b69d67814acbe69bd0743	verified-current-source	Released five-file TerminalBench-2 harness artifact; no license present at the pinned revision
EVIDENCE	META-HARNESS-TRAE-RUN	evaluates-interface	META-HARNESS-REPO	evidence/meta_harness/trae_run/receipt.json and normalized/validation.json	verified-local-interface-only	Schema and write boundary validated; all three candidates retained as invalid; no benchmark or held-out evaluation
EVIDENCE	BENCH-SWE	bounds-evaluation	META-HARNESS	evidence/benchmarks/manifest.tsv; SWE-bench evaluator at git:cd37836ffec01d01a0d699a80a039d84ff2cebfe	verified-receipt	Verifier logic is locally hash-verified under MIT; selected dataset content remains remote-only and no score is reproduced
EVIDENCE	BENCH-TB2	bounds-evaluation	META-HARNESS	evidence/benchmarks/manifest.tsv; extract-elf at git:d28711d0da2675d0bb1d56de45ae5df6082438a3	verified-receipt	Remote-only task/verifier hashes establish identity, not task execution, result, or redistribution rights
EVIDENCE	BENCH-SWE	bounds-evaluation	DGM	evidence/benchmarks/manifest.tsv; DGM selected subset at git:a565fd2d1dca504ef5104a7cc0f3bdc4ab9b4fd2	verified-receipt	SWE-bench task receipt anchors the selected repair example but does not reproduce DGM's historical protocol
EVIDENCE	BENCH-POLYGLOT	bounds-evaluation	DGM	evidence/benchmarks/manifest.tsv; DGM selected subset at git:a565fd2d1dca504ef5104a7cc0f3bdc4ab9b4fd2	verified-receipt	Polyglot verifier identity anchors the C++ example without redistributing task bytes or running containers
EVIDENCE	BENCH-TB2	bounds-evaluation	AHE	evidence/benchmarks/manifest.tsv	verified-receipt	Terminal-Bench 2 receipt provides evaluator identity only; AHE's transfer remains an author-reported claim
EVIDENCE	BENCH-SKILLS	bounds-evaluation	HARNESS-DISENTANGLE	evidence/benchmarks/manifest.tsv; arXiv:2602.12670	verified-receipt	Case study is used for activation/adherence interpretation, not as a standalone task-score proxy
EVIDENCE	MCE	contextualizes	BENCH-SKILLS	evidence/weng/text/mce.txt:430-865; evidence/benchmarks/manifest.tsv	verified	Contrasts one-shot context generation with a skill activation/adherence benchmark; no direct shared experiment is claimed
EVIDENCE	GDPVAL	contextualizes	BENCH-SWE	evidence/benchmarks/manifest.tsv; GDPval PDF sha256:37c7604bc9da68cd8d9345ad16938164fe985182ad723fcb09e9415f84dc25d4	verified-receipt	Contrasts expert-comparison knowledge-work evaluation with historical public repository repair; no common scale or capability ranking is claimed
EVIDENCE	DEEPSWE	contextualizes	BENCH-SWE	evidence/benchmarks/deep-swe/README.md and task.toml at git:435ee89ec2f2e2289f33b0da4f992f0b7b7266b9	verified-receipt	Contrasts original-task and separate-verifier design with historical-public-task repair; no score comparison is claimed
EVIDENCE	FRONTIERCODE-1-1	contextualizes	DEEPSWE	evidence/benchmarks/manifest.tsv; FrontierCode page sha256:e7f82fd63e6dd2455b7a45b29c98663e0862c8291cab00cdd9cc2f5112d16ca8	verified-receipt	First-party internet-use safeguard claims are a comparator for DeepSWE's declared no-network sample task; enforcement evidence remains missing
EVIDENCE	GDPVAL	bounds-evaluation	META-HARNESS	evidence/benchmarks/manifest.tsv	verified-receipt	Economically meaningful knowledge-work comparator only; no shared agent, run, or result is claimed
EVIDENCE	DEEPSWE	bounds-evaluation	DGM	evidence/benchmarks/deep-swe/README.md and task.toml at git:435ee89ec2f2e2289f33b0da4f992f0b7b7266b9	verified-receipt	Long-horizon repository task and verifier boundary comparator; no DGM evaluation on DeepSWE is claimed
EVIDENCE	SIMAS-PAPER	contextualizes	WENG-HARNESS	evidence/self_improving_agents_survey/survey/text/self-improvements-modern-agentic-systems-2607.13104v1.txt:1342-1515	verified	Provides a broader model-plus-scaffold survey taxonomy; Weng remains Harp's local harness-engineering interpretation anchor
EVIDENCE	LARK-HARNESS-BOUNDARY	contextualizes	WENG-HARNESS	docx:NCc2dbhZgovy1pxdTa1cMClinmf revision:80 retrieved:2026-08-28	internal-source-bounded	Internal synthesis provides a boundary checklist only; public primary sources still own mechanisms, figures, and implementation behavior
EVIDENCE	SIMAS-PAPER	contextualizes	SIA	evidence/self_improving_agents_survey/survey/text/self-improvements-modern-agentic-systems-2607.13104v1.txt:1468-1515	verified	Frames joint foundation-model and scaffold adaptation as target classes; SIA owns its concrete mechanism and reported results
EVIDENCE	SIMAS-SITE	classifies	DGM	evidence/self_improving_agents_survey/site/index.txt:552-580	verified-dated-first-party	Hub places DGM in the full-scaffold neighborhood; Harp's DGM packet owns implementation and mechanism claims
EVIDENCE	SIMAS-SITE	classifies	STOP	evidence/self_improving_agents_survey/site/index.txt:552-580	verified-dated-first-party	Hub places STOP near full-scaffold improvement; existing inspected paper owns protocol and limitations
EVIDENCE	SIMAS-SITE	classifies	ADAS	evidence/self_improving_agents_survey/site/index.txt:552-580	verified-dated-first-party	Hub places ADAS near full-scaffold improvement; existing inspected paper owns mechanism and reported results
EVIDENCE	SIMAS-SITE	classifies	ALPHAEVOLVE	evidence/self_improving_agents_survey/site/index.txt:552-580	verified-dated-first-party	Hub places AlphaEvolve near full-scaffold improvement; existing inspected paper owns mechanism and reported results
EVIDENCE	SIMAS-SITE	classifies	SHINKAEVOLVE	evidence/self_improving_agents_survey/site/index.txt:552-580	verified-dated-first-party	Hub places ShinkaEvolve near full-scaffold improvement; existing inspected paper owns mechanism and reported results
EVIDENCE	SIMAS-SITE	classifies	CONTINUAL-HARNESS	evidence/self_improving_agents_survey/site/index.txt:552-580	verified-dated-first-party	Hub places Continual Harness near full-scaffold improvement; existing inspected paper owns mechanism and reported results
EVIDENCE	SIMAS-SITE	classifies	HYPERAGENTS	evidence/self_improving_agents_survey/site/index.txt:552-580	verified-dated-first-party	Hub places Hyperagents near full-scaffold improvement; existing inspected paper owns mechanism and reported results
EVIDENCE	SIMAS-SITE	contextualizes	BENCH-SWE	evidence/self_improving_agents_survey/site/index.txt:585-690	verified-dated-first-party	Hub lists evaluation surfaces including SWE-bench; Harp benchmark receipts own verifier and access-policy boundaries
EVIDENCE	SIMAS-SITE	contextualizes	PAPERBENCH	evidence/self_improving_agents_survey/site/index.txt:585-690	verified-dated-first-party	Hub lists evaluation surfaces including PaperBench; existing inspected paper owns benchmark contract and reported results
EVIDENCE	SIMAS-SITE-REPO	pins	SIMAS-SITE	evidence/self_improving_agents_survey/repos/site_repo/index-d8af6607ced118351108670f823cd106649cb757.html	verified-pinned-source	Pinned GitHub Pages source bytes match the dated hub capture; no extra mechanism claim
EVIDENCE	SIMAS-AWESOME-REPO	updates	SIMAS-SITE	evidence/self_improving_agents_survey/repos/awesome_repo/README.md at git:57a1d89e5bafcd65db7feb51e809422700aeb48a	verified-current-source	Linked update repository preserves bibliography identity and license text only; no full linked-work audit
EVIDENCE	LADDER	contrasts	PRIME-TTRL	evidence/verified_coevolution_agenda/manifest.tsv	verified	LADDER-TTRL uses recursive problem variants and verifier-guided per-problem adaptation; PRIME-RL TTRL uses majority-vote pseudo-label rewards on unlabeled test data
EVIDENCE	GODEL-AGENT	contextualizes	GODEL-MACHINE	evidence/verified_coevolution_agenda/artifacts/godel_agent/metadata/arxiv-2410.04444v4.html	metadata-only	Godel Agent abstract identity is conceptually self-referential; no local full-text lineage claim is made
EVIDENCE	MENDEL-GODEL-MACHINE	contextualizes	DGM	evidence/verified_coevolution_agenda/artifacts/mendel_godel_machine/metadata/arxiv-2608.07645v1.html	metadata-only	Mendel Godel Machine abstract frames comparative evolution for self-improving coding agents; no local full-text reproduction or direct implementation lineage claim is made
EVIDENCE	DEEPSEEK-HARNESS	cites	CORDIS-PAPER	README.md line 7 and docs/architecture.md Cordis section	verified-current-source	DSH cites Cordis and the Cordis paper as its design substrate; Cordis paper owns formal claims while DSH source owns product behavior
EVIDENCE	DSH-SMOKE	evaluates-interface	DEEPSEEK-HARNESS	evidence/deepseek_harness_study/README.md	verified-local-interface-only	Local pnpm install and core tool-runtime vitest receipt; no provider-authenticated model run, UI run, benchmark, HMR, persistence, or sandbox guarantee
EVIDENCE	CORDIS-PAPER	contextualizes	WENG-HARNESS	evidence/cordis_paper/text/cordis-paper-v8.txt:188-207	verified	Paper frames self-evolving agent harnesses as dynamic composition systems; Weng remains the broader harness-engineering anchor
