path	action	source	owner	rationale
formalization/lean/CrouzeixTextbook/Part06/Chapter34.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part06/Chapter35.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/lakefile.toml	adapt	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/claim_evidence_ledger.md	adapt	0424501a	proof/publication	Update source-graph locator to current single-line JSON, preserving semantic scope.
knowledge/crouzeix_textbook/crouzeix_textbook_index.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/exercise_index.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/lean_coverage_ledger.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/notation_and_glossary.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_01_linear_structure/01_objects_and_representations.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_01_linear_structure/02_vector_spaces_and_subspaces.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_01_linear_structure/03_linear_maps_and_exact_structure.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_01_linear_structure/04_coordinates_and_duality.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_01_linear_structure/05_determinants_trace_and_exterior_algebra.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_01_linear_structure/06_eigenvalues_and_polynomial_algebra.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_02_geometry_and_calculus/07_inner_product_spaces.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_02_geometry_and_calculus/08_positive_operators_and_gram_geometry.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_02_geometry_and_calculus/09_operator_norms_and_singular_values.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_02_geometry_and_calculus/10_multilinear_maps_and_tensors.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_02_geometry_and_calculus/11_differentiation_as_linear_approximation.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_02_geometry_and_calculus/12_differential_forms_and_stokes.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_03_analysis_and_complex_functions/13_metric_and_normed_spaces.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_03_analysis_and_complex_functions/14_sequences_and_series_of_operators.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_03_analysis_and_complex_functions/15_complex_differentiability.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_03_analysis_and_complex_functions/16_consequences_of_cauchy_theory.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_03_analysis_and_complex_functions/17_functions_of_matrices_and_operators.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_03_analysis_and_complex_functions/18_positive_real_analytic_functions.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_04_operator_theory/19_normality_and_nonnormality.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_04_operator_theory/20_numerical_range.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_04_operator_theory/21_spectral_sets.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_04_operator_theory/22_positive_and_completely_positive_maps.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_04_operator_theory/23_compression_and_dilation.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_04_operator_theory/24_gramians_and_ordered_matrix_inequalities.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_05_crouzeix_machinery/25_convex_boundaries_and_cauchy_layers.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_05_crouzeix_machinery/26_double_layer_map.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_05_crouzeix_machinery/27_one_plus_sqrt_two_barrier.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_05_crouzeix_machinery/28_complete_power_family.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_06_constant_two_routes/29_crouzeix_problem_and_sharpness.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_06_constant_two_routes/30_jin_positive_real_completion.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_06_constant_two_routes/31_jin_correction_cancellation.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_06_constant_two_routes/32_jin_constant_two_endpoint.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_06_constant_two_routes/33_lorist_schwenninger_perturbation_lemma.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_06_constant_two_routes/34_lorist_schwenninger_realization.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/part_06_constant_two_routes/35_comparison_verification_and_boundaries.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/reading_guide.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/source_registry.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/status_and_scope.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
knowledge/crouzeix_textbook/theorem_dependency_map.md	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
labs/crouzeix_proof_reproduction/ls_receipts.py	exclude	0424501a	environment	Relevant fixes already present in current mainline.
labs/crouzeix_proof_reproduction/proof_evidence.py	adapt	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
labs/crouzeix_proof_reproduction/tests/test_ls_receipts.py	exclude	0424501a	environment	Relevant fixes already present in current mainline.
labs/crouzeix_proof_reproduction/tests/test_proof_evidence.py	adapt	0424501a	environment	Integrate committed textbook delta while preserving current mainline.
mise.toml	adapt	0424501a	environment	Integrate committed textbook delta while preserving current mainline.
scripts/check_lean_library.sh	adapt	0424501a	environment	Integrate committed textbook delta while preserving current mainline.
tools/textbook_pdf/README.md	adapt	afe523a2	PDF	Preserve design; repair input boundaries and provenance for clean integration.
tools/textbook_pdf/book.css	adapt	afe523a2	PDF	Preserve design; repair input boundaries and provenance for clean integration.
tools/textbook_pdf/build.cjs	adapt	afe523a2	PDF	Preserve design; repair input boundaries and provenance for clean integration.
tools/textbook_pdf/build.test.cjs	adapt	afe523a2	PDF	Preserve design; repair input boundaries and provenance for clean integration.
tools/textbook_pdf/check_pdf.py	adapt	afe523a2	PDF	Preserve design; repair input boundaries and provenance for clean integration.
tools/textbook_pdf/package.json	adapt	afe523a2	PDF	Preserve design; repair input boundaries and provenance for clean integration.
