source_id	edited_object	persistence	evaluator	update_operator	model_weight_change	evidence_class	comparison_claim_ceiling
DGM	coding-agent repository	branching lineage archive	external coding benchmarks	agent code mutation and archive selection	no; foundation model fixed	author-reported	open-ended agent-code lineage without matched recursive gain
HYPERAGENTS	unified editable task-and-meta-agent program	candidate archive	held-out paper-review quality	self-referential task-and-meta logic rewrite plus archive selection	no	author-reported	bounded agent-quality gain with fixed outer loop and evaluator
LEARNING-DISCOVER	model weights and discovery archive	test-time checkpoint and archive	continuous verifier on GPUMode	test-time training with archive reuse	yes	author-reported	problem-specific discovery gain under continuous verification
EPISTEMIC-DISCOVERY	LoRA ensemble weights	test-time adapter ensemble	verifier reward and epistemic uncertainty	uncertainty-guided test-time training	yes	author-reported	single-seed discovery evidence with verifier and ensemble costs
SIA	harness and model weights	generation-specific or selected-best scaffold and LoRA checkpoint	three domain evaluators	joint harness and weight updates	yes	author-reported	joint adaptation gains with reported confounds
NOT-SCIENTISTS	research ideas, hypotheses, plans, code, results, and manuscript	project artifacts	human assessment of four attempts	autonomous research execution	no reported training	case report	failure-mode evidence from four attempts, not improvement proof
GPT5-SCIENCE	scientific artifact	case-study outputs	expert verification	human-directed prompting and tool use	no reported training	company report	science-collaboration cases, not benchmark or RSI validation
PAPERBENCH	research reproduction artifact	per-run reproduction artifact; reported aggregates include three runs per paper and human best@3	8,316-item rubric and judge	agent reproduction workflow	no	benchmark	research-replication capability in a 20-paper benchmark
REBENCH	AI R&D solution	independent timed attempts aggregated through score@k	task score and score@k	agent R&D execution	no	benchmark	frontier-agent R&D capability under fixed time budgets
MLEBENCH	ML engineering solution	per-seed competition artifact; headline result aggregates 16 seeds	private-leaderboard medal metric	agent modeling and code iteration	no	benchmark	offline Kaggle engineering performance with split caveats
SCIENCEAGENTBENCH	scientific analysis program	three independent runs per task with selected-best and mean accounting	execution and task-success checks	agent planning, coding, and self-debugging	no	benchmark	data-driven science-agent capability on 102 tasks
COREBENCH	computational reproduction artifact	three-run CORE-Agent accounting with separate pass@1 and pass@3 retries	task tests and pass accounting	CORE-Agent execution and retries	no	benchmark	computational reproducibility on a 270-task benchmark
KERNELBENCH	GPU kernel code	candidate within an attempt	correctness tests and fast_p speed metric	generation with execution feedback	no	benchmark	kernel generation efficiency under fixed hardware and tasks
HARNESS-DISENTANGLE	harness update and use capabilities	observed capability, not an accepted edit	activation, adherence, and task benchmarks	controlled harness perturbation	no; fixed-weight study	benchmark	capability decomposition; harness updating is not harness benefit
AHE	coding-agent harness	accepted harness version	task outcome and observability predictions	trace analysis, edit proposal, and selection	no	author-reported	observability-driven harness evolution with transfer limits
CONTINUAL-HARNESS	online harness and policy state	reset-free state across refinement cycles within one continuing episode	completion, process reward, and teacher labels	harness refinement plus DAgger-style relabeling	yes	author-reported	online co-learning under game, teacher, and evaluator limits
DEMOEVOLVE	executable agentic harness	evolution archive	fixed-seed game reward	demonstration-guided harness evolution and selection	no; model frozen	author-reported	sparse-feedback harness gain with causal-audit limits
KARPATHY-AUTORESEARCH	training program	git state and experiment log	fixed-time validation loss	edit, train, measure, keep or revert	yes; each experiment trains	implementation snapshot	pinned workflow behavior without benchmark reproduction
WENG-REWARD	not applicable; secondary reward-hacking synthesis	varies by cited case	varies by cited case	not applicable; synthesis of failure modes and mitigations	varies by cited case	secondary synthesis	reward-hacking and evaluator-bias framing
ANTHROPIC-RSI	not one controlled object; company successor-development framing	varies across self-reported cases	internal observations and case-specific metrics	not one controlled update loop	varies or is unspecified across cases	company essay	successor-development framing with an explicit not-yet-RSI boundary
